domain,1CSE_G1,2CSE_G1,4CSE_G1,8CSE_G1,64CSE_G1,1CSE_G2,2CSE_G2,4CSE_G2,8CSE_G2,64CSE_G2,id,cluster,genes,DnaBinding,DnaBinding_each
chr1_151040000_151800000,-0.019751929,-0.222906464,-0.007198564,-0.012783224,0.650197853,0.139475291,-0.525066614,-0.116548814,-0.002112931,0.540677928,273,9,Gm22756; Gm37671; Gm19087; Gm8941; C730036E19Rik; Gm47985; Gm8947; Gm47995; 3110040M04Rik; Gm47996; Gm24402; Gm10138; Ivns1abp; Swt1; Trmt1l; Mir7682; Gm37893; Rnf2; Gm36527; Gm29072; Gm19503; Gm28181; Fam129a; 2810414N06Rik; Edem3,0,FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE
chr1_173440000_174120000,-1.141448213,-1.112535402,-1.138146948,-1.225878068,-1.032628937,-1.025811485,-1.174945973,-1.0613807,-1.122974549,-0.970739474,314,9,Aim2; Ifi206; Ifi214; Gm44481; Ifi213; Ifi209; Gm44339; Pydc3; Gm18752; Gm7871; Ifi207; Ifi204; Ifi203-ps; Gm7897; Mndal; Gm38050; Mnda; Ifi203; Ifi202b; Gm18445; Ifi205; Olfr433; Olfr432; Olfr431-ps1; Olfr430; Olfr429; Olfr428-ps1; Olfr427; Gm37417; Olfr231,2,TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE
chr1_178920000_179800000,0.316112671,-0.110570182,0.742730638,0.148159,0.101373136,-0.033991745,-0.315133623,0.170973459,0.10259655,0.262780237,326,9,Kif26b; Smyd3; Gm5561; Tfb2m; Gm15480; Cnst; Sccpdh; Kif28; Ahctf1,1,FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE
chr1_180200000_180840000,0.024483277,-0.137888236,0.042491791,0.111413181,0.304222614,0.097952869,-0.362986919,0.301402012,0.538700742,0.477444386,330,9,Gm37336; Psen2; Gm31728; Gm5069; Itpkb; Gm37033; Gm37390; Gm36933; Stum; Gm37984; Gm37267; Parp1; Mir6904; Lin9; Mixl1; Gm8101; Acbd3; Gm37768; Gm38293; H3f3a; Gm17275; H3f3aos; Gm24836,3,FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE
chr1_181800000_182560000,-0.070469095,-0.038795238,0.278161921,-0.042034789,0.667871034,-0.061082442,-0.290033114,0.189780357,0.08124309,0.464753361,333,9,Dnah14; Gm23690; Lbr; Gm26004; Gm5533; Enah; 2700078F05Rik; Gm38359; Gm37018; Gm37258; Gm37177; Srp9; Gm17968; Vmn1r1; Degs1; 1700047M11Rik; Fbxo28; Gm5706; Gm10517; Trp53bp2; Capn2; Gm37885; Gm37069; Gm8197,1,FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE
chr10_11360000_13000000,0.038168537,-0.107031698,0.169311491,0.213340037,0.26856234,-0.067808337,-0.0284878,0.054307768,0.032909668,0.064276682,373,9,Epm2a; Rpl17-ps11; Gm48679; Gm48680; Gm9797; Gm22546; Gm48697; Gm48698; Gm22194; Gm25011; Gm48721; Gm48722; Gm48723; Gm48724; Gm23680; Gm25139; Utrn; Gm48798; Gm23044; Gm7525; B230208H11Rik; Stx11,0,FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE
chr10_39960000_40640000,-0.149493201,-0.194075074,-0.069299216,-0.017550069,0.481651835,0.022318125,-0.398270373,-0.250668327,0.241742968,0.622825974,423,9,Mfsd4b3; Mfsd4b5; Mfsd4b1; Gm48839; Gm8055; Slc16a10; Gm25613; Gm31992; Gm47598; Gm37786; Rpf2; Gtf3c6; Rnu3a; Rnu3a; A930033M14Rik; Gm47867; Amd1; Gm8948; Cdk19; Cdk19os; Gm18671; Gm17795; Slc22a16; Ddo,1,FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE
chr10_59280000_60280000,-0.014611266,-0.092046288,0.233083187,0.0552003,0.573889951,0.079075296,-0.2207445,0.216412041,0.341830639,0.449688404,450,9,P4ha1; Gm10273; Pla2g12b; Oit3; Mcu; Gm10322; Micu1; Gm17148; Gm17059; Gm7399; Gm23803; Gm7413; Dnajb12; Ddit4; Anapc16; Ascc1; Spock2; Mir6906; Chst3; Gm22117; Psap,0,FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE
chr10_59880000_61680000,-0.132719486,-0.009611307,0.215005444,0.134642325,0.205117504,0.093740508,0.056026703,0.31784261,0.547217591,0.189231733,452,9,Dnajb12; Ddit4; Anapc16; Ascc1; Spock2; Mir6906; Chst3; Gm22117; Psap; Cdh23; Vsir; Gm17455; Slc29a3; Unc5b; Gm19972; Mir6408; Pldi; Gm26947; Mir466j; Gm20611; Gm20625; Gm20610; Pcbd1; Sgpl1; Gm44308; Tbata; Adamts14; Prf1; Rpl27a-ps1; Pald1; Gm48077; Gm48074; Nodal; Eif4ebp2; Gm48086; D830039M14Rik; Lrrc20; Gm47595; Gm47593; Gm17829; Gm47594; Gm28447; Npffr1; Ppa1; 1700022H01Rik,0,FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE
chr10_61120000_62680000,-0.045523495,-0.160449465,0.355949447,0.144810279,0.240428044,0.017164627,-0.147035753,0.099865789,0.257556605,0.189747301,458,9,Sgpl1; Gm44308; Tbata; Adamts14; Prf1; Rpl27a-ps1; Pald1; Gm48077; Gm48074; Nodal; Eif4ebp2; Gm48086; D830039M14Rik; Lrrc20; Gm47595; Gm47593; Gm17829; Gm47594; Gm28447; Npffr1; Ppa1; 1700022H01Rik; Sar1a; Tysnd1; Aifm2; H2afy2; Mir5108; Col13a1; Gm5750; Gm47919; Gm5424; Fam241b; Neurog3; Tspan15; Mir7662; Tacr2; Hk1; Hk1os; Hkdc1; Supv3l1; 4930507D05Rik; Vps26a; Srgn; Kif1bp; 4933428P19Rik; Ddx21; Gm47257; Ddx50; Stox1; Gm18514,5,FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE
chr10_62720000_63440000,-0.245500032,-0.667229941,-0.46237107,-0.447915261,0.262368063,-0.205711991,-0.800206238,-0.303255113,-0.441425229,0.233418052,460,9,Stox1; Ccar1; Gm48145; Snord98; Gm48146; Tet1; Gm48353; Gm26479; Gm22803; Slc25a16; Gm25862; Gm16128; Dna2; Rufy2; Gm16135; Hnrnph3; Pbld2; Gm16143; Pbld1; Gm48072; Gm38063; Atoh7; Mypn; 1700120B22Rik; Herc4; Gm19337; Gm47615; Gm26789; Sirt1; Gm16145; Dnajc12; Gm7530; Gm7075; Ctnna3,4,TRUE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE
chr10_66800000_67280000,-0.083247612,-0.191659801,0.030213943,0.131377036,0.603567387,-0.162142495,-0.400460213,0.32741529,0.769572925,1.200249489,463,9,Gm47896; Gm47897; Gm47900; Gm47903; 1110002J07Rik; Gm26576; Gm31763; Reep3; Jmjd1c; Gm26359; Nrbf2,0,FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE
chr10_75520000_76240000,-0.013362506,-0.532665609,-0.214594433,-0.243107808,0.434157273,0.048791012,-0.614916028,-0.190788848,0.096663332,0.40275449,481,9,Snrpd3; Lrrc75b; Ggt1; Ggt5; Gm9985; Gm26402; Gm19688; Susd2; Cabin1; Gm19326; Ddt; Gm20441; Gstt3; Gstt1; Gstt4; Gstt2; Mif; Gm47744; Derl3; Smarcb1; Mmp11; Chchd10; Gm867; Vpreb3; Gm16221; Gm5134; Gm16219; Gm16220; Mir6409; Zfp280b; Slc5a4b; Gm16222; Gm19217; Slc5a4a; Gm2628; Prmt2; Mir678,1,FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE
chr10_84480000_85880000,0.218518268,-0.093490974,0.002887284,0.017326513,0.103967337,0.009611058,0.109021038,0.444465171,0.419275153,0.332032762,493,9,4930463O16Rik; 1700092E16Rik; AC150314.1; E230014E18Rik; Ckap4; Platr7; Tcp11l2; Gm25657; Gm17249; Polr3b; Rfx4; Gm24226; Ric8b; Fhl4; Tmem263; Mterf2; Cry1; Gm38575; Gm27392; Gm8394; Gm25281; Btbd11; Gm47358; Gm6713; Gm6714; Gm21026; Gm47362; Gm47363; Gm47366; Gm47365; Gm47367; Gm9466; Gm19612; Gm1559; Gm6721; Pwp1; AC122408.1; Gm47006,3,FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; TRUE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE
chr10_88360000_88800000,-0.361263485,-0.55969047,-0.487649217,-0.129427314,1.100955145,-0.044089219,-0.646505411,-0.341514015,-0.252077741,0.937200323,502,9,Dram1; Gnptab; Gm26546; Gm16235; Chpt1; Sycp3; Mybpc1; Gm48752; Gm8435; Gm48106; Gm48108; Gm29807; Spic; Gm46192; n-R5s79; Gm48144; Gm4925; Arl1; Utp20,1,FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE
chr10_126880000_127360000,-0.416889217,-0.571127022,-0.610498367,-0.225349251,0.108106307,0.092371241,-0.701713593,-0.296516055,-0.183860011,0.365090097,576,9,Atp23; Gm6333; AC122018.1; Gm47972; Ctdsp2; Mir26a-2; Mir546; Avil; Tsfm; Mettl21b; Mettl1; Cyp27b1; March9; Cdk4; Tspan31; AC134329.1; Agap2; Os9; Gm4178; Gm23664; B4galnt1; Slc26a10; Arhgef25; Dtx3; F420014N23Rik; Pip4k2c; Kif5a; Dctn2; Mbd6; Gm20492; Gm4189; Ddit3; AC144852.1; Mars; Gm6283; Arhgap9; Gli1; Gm47200; Inhbe; Inhbc,3,FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE
chr10_127360000_128000000,-0.269267802,-0.379547969,-0.181053433,-0.012538285,0.560738465,0.040013103,-0.242838137,0.262840983,0.484444522,0.372765304,577,9,Gm47200; Inhbc; R3hdm2; Gm23819; Stac3; Ndufa4l2; Shmt2; Nxph4; Lrp1; Gm16217; Gm48815; Stat6; Nab2; Gm16229; Nemp1; Gm16230; Myo1a; Tac2; Zbtb39; Gpr182; Rdh1; Rdh16f1; Rdh9; Rdh16; Rdh18-ps; Rdh19; Rdh16f2; Rdh7; Sdr9c7; Gm15905; Gm15900; Gm23996; Gm47949; Hsd17b6,1,FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE
chr10_128000000_128960000,-0.42805172,-0.84883972,-0.725343876,-0.807064988,-0.21759416,-0.313974228,-0.783925185,-0.538498481,-0.657279523,-0.16471451,579,9,Hsd17b6; Gm10120; Prim1; Naca; Ptges3; Gm47438; Atp5b; Snord59a; Mir677; Mir677; Baz2a; Rbms2; Gm4556; Gls2; Spryd4; Mip; Gm26847; Timeless; Apon; Apof; Stat2; Il23a; Gm23241; Pan2; Cnpy2; Cs; Gm23182; Coq10a; Ankrd52; Gm26308; Mir6914; Mir6915; Gm17201; Slc39a5; Nabp2; Gm25361; Rnf41; Gm26347; Mir8105; Smarcc2; Myl6; Myl6b; A430046D13Rik; Esyt1; Mir6916; Gm29585; Zc3h10; Rpl41; Gm9176; Pa2g4; Gm47275; Erbb3; Mir6917; Gm47540; Gm9182; Rps26; Ikzf4; Gm26876; AC117232.1; Suox; Rab5b; Cdk2; Pmel; Dgka; Pym1; Rpsa-ps2; Gm47093; Mmp19; Tmem198b; Dnajc14; Sarnp; Ormdl2; Gdf11; Cd63; Rdh5; Bloc1s1; Itga7; Gm25494; Mettl7b,8,FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE
chr10_128040000_128560000,-0.408133652,-1.025801423,-0.749961991,-0.692004419,0.001986594,-0.364621798,-0.801336126,-0.407806068,-0.53063644,0.100503924,580,9,Naca; Ptges3; Gm47438; Atp5b; Snord59a; Mir677; Mir677; Baz2a; Rbms2; Gm4556; Gls2; Spryd4; Mip; Gm26847; Timeless; Apon; Apof; Stat2; Il23a; Gm23241; Pan2; Cnpy2; Cs; Gm23182; Coq10a; Ankrd52; Gm26308; Mir6914; Mir6915; Gm17201; Slc39a5; Nabp2; Gm25361; Rnf41; Gm26347; Mir8105; Smarcc2; Myl6; Myl6b; A430046D13Rik; Esyt1; Mir6916; Gm29585; Zc3h10; Rpl41; Gm9176; Pa2g4; Gm47275,6,TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE
chr10_128560000_129000000,-0.423575001,-0.843331613,-0.688139102,-0.835609985,-0.01815138,-0.41865854,-0.863280172,-0.689520313,-0.575195212,0.14290438,581,9,Pa2g4; Erbb3; Mir6917; Gm47540; Gm9182; Rps26; Ikzf4; Gm26876; AC117232.1; Suox; Rab5b; Cdk2; Pmel; Dgka; Pym1; Rpsa-ps2; Gm47093; Mmp19; Tmem198b; Dnajc14; Sarnp; Ormdl2; Gdf11; Cd63; Rdh5; Bloc1s1; Itga7; Gm25494; Mettl7b; 9030616G12Rik; Olfr9,3,TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE
chr11_4440000_4920000,-0.047350806,-0.551595252,-0.224131223,-0.323447147,0.36965505,0.105637288,-0.661300459,-0.181490576,-0.090480916,0.285717542,582,9,Hormad2; Mtmr3; Gm11960; Gm11032; Gm11961; Ascc2; Uqcr10; Zmat5; Cabp7; Nf2; Nipsnap1; Mir6918; Thoc5; AA413626,0,FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE
chr11_5080000_5720000,-0.146737986,-0.246377295,-0.120354729,-0.242687259,0.022982446,-0.305481999,-0.437915528,-0.186136629,-0.305902888,0.201790149,583,9,Ewsr1; Rhbdd3; Emid1; Kremen1; Gm25142; Znrf3; Gm11962; Gm11963; Xbp1; Ccdc117; Gm22471; Ankrd36; Gm11964; Gm11965; Mrps24; Urgcp,1,FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; TRUE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE
chr11_5880000_6360000,-0.203951287,-0.421742925,-0.162364985,-0.043088987,0.159285733,0.05280632,-0.542304432,-0.389067117,-0.083347519,0.032042174,584,9,Myl7; Gck; Gm11967; Ykt6; Camk2b; Nudcd3; Rps15a-ps6; Gm11969; A730071L15Rik; Npc1l1; Gm11401; Ddx56; Tmed4; n-R5s67; Ogdh,0,FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE; FALSE
